target_id	GRP1A	GRP1B	GRP1C	GRP1D	GRP1E	GRP2A	GRP2B	GRP2C	GRP2D	GRP2E	GRP3A	GRP3B	GRP3C	GRP3D	GRP3E	GRP4A	GRP4B	GRP4C	GRP4D	GRP4E
ENST00000308744.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000344413.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000395999.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000358749.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000506359.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000355360.8	4.19377	3.1624	2.30103	6.84918	0	1.96404	5.9657	0	11.8888	3.59736	3.9387	4.84823	15.1122	10.2322	12.141	1.72505	2.42168	6.50966	3.93831	0
ENST00000329291.6	10.8062	16.8376	16.699	18.1508	15	6.03596	2.0343	8	6.11117	2.76181	6.0613	15.1518	3.88779	5.76778	12.859	5.27495	12.5783	4.49034	8.06169	7
ENST00000462488.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000378714.8	0	0	0	0	0	3.37659	3.51546	0	3.37433	3.37199	0	0	0	0	0	3.39236	6.71474	0	0	0
ENST00000479669.5	0	0	0	0	0	1.84665	0	0	0	0	0	0	0	0	0	0	0.715959	0	0	0
ENST00000484800.6	0	1	0	0	0	0.0881023	0	1	2.00953	0.592105	0	0	0	0	0	2.68098	0	0	0	12
ENST00000378694.1	0	0	0	0	0	0.0230193	0.0259693	0	1.61614	0.0359031	0	0	0	0	0	0.0192962	0.0964477	0	0	0
ENST00000459751.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472857	0	0	0
ENST00000481292.1	0	0	0	0	0	2.66563	0.45857	0	0	0	0	0	0	0	0	0.907367	0	0	0	0
ENST00000485659.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000560827.6	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1
ENST00000696102.1	0	0	0	0	2.73197	0	0	0	0	0	0	0	0	0	0.660346	0	0	0	0	0
ENST00000352903.6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57612	0	0
ENST00000537232.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENST00000561221.6	0	0	2.04439	2	0.80335	0	0	1.12513	0	1	0	0	0	2	3.7613	0	0	0.6562	3	3
ENST00000558127.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000558083.2	5.56574	0	4.19863	0	2.56457	2	3	1.87487	2.9967	0	5.52047	3.16392	0	0	0	3	0	3.76768	0	0
ENST00000559142.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3
ENST00000559546.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000560582.2	0	0	0	0	3.26803	1	0	0	0	0	0	0	0	0	1.57836	0	0	0	0	0
ENST00000366971.9	12.7388	8.24787	14.1882	9.57931	15.9285	21.2675	17.5648	12.8719	15.9276	26.4328	10.5076	15.0083	10.6448	5.8925	19.1593	10.6328	11.9499	16	10.6293	18.6486
ENST00000419102.1	0	3.81648	0	0	0	0	0.480197	0	0	0	0	0	0	2.15362	0	2.99015	0	0	0	0.732561
ENST00000579295.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENST00000474693.1	0	0	0	0	0	0	0	0	0	0	2.40822	0	1.41064	0	0	0	0	0	0	0
ENST00000483790.1	1.26117	0	0	0.420692	0.0767914	0.732511	0	1.26833	1.07825	0	1.38993	1.14452	0	1	0.840656	0.377076	1.30976	0	0.370745	1.62606
ENST00000680239.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000680956.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000680360.1	0	34.9746	0	18.4768	12.586	0	14.1738	0	0	11.1046	13.0234	0	13.1005	12.777	0	0	0	10.7093	9.38063	0
ENST00000681528.1	0	15.0103	0	0	9.1572	0	14.8859	19.6196	11.111	0	0	76.3975	0	0	16.2645	22.59	0	68.7487	12.1013	28.3386
ENST00000647962.1	3	0	0	0	0	0	0	0	0	0	1.60312	0	0	0	0	0	0	0	0	0
ENST00000649900.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000680291.1	0	3.4304	7.15178	2.7857	5.7374	0	0	0	10.1641	8.22316	0	3.59971	12.7475	6.72459	0	8.41336	6.32775	6.36756	14.5358	0
ENST00000355072.11	195.166	76.0111	145.838	109.55	131.141	135.639	96.2034	107.813	121.845	143.672	121.393	59.5056	129.101	133.678	129.875	92.6354	150.672	45.3991	116.16	101.187
ENST00000648150.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323769	0	0	0	0
ENST00000506137.1	0	0	2.12869	0	0	0	1.53369	0	0	0	0	2.33602	2.41327	0	0	0.584528	0	0	0	0
ENST00000512909.1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENST00000510626.5	12.7856	12.5736	12.1072	14.188	0	6.85525	22.2032	11.8838	9.46328	0	12.9801	64.786	25.7462	7.07016	3.86025	7.47198	0	17.824	10.6397	8.14925
ENST00000649131.1	0.0850056	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000509618.1	0.962936	0	0	0	0	0	0	1.68339	0.416109	0	0	0	0	0	0	0	0	0	0.217748	0
ENST00000650588.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000650595.1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENST00000513639.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000513326.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000509043.1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000509751.1	0	0	0	0	1	3	0	0	0	0	0	1.37513	1	2.32793	2	0.218307	0	4	4.48174	3.32518
ENST00000512068.1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
ENST00000513806.1	0	0	0	0	3.37882	0.50559	0	0	0	0	0	0	0	0.422298	0	2.76266	0	0	0.483297	0
ENST00000508321.1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1
ENST00000261405.10	0	0	2	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0
ENST00000612016.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000621700.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000538635.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000539641.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000321023.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000538563.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000545906.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000540192.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000220325.9	40	30	18	28.0454	17	51	32.7488	34	41	40.3818	55	45.5322	27	34	39	67.0721	91	50	62	65
ENST00000569223.1	2	0	0	1.95463	0	0	3.25119	0	0	2.61816	0	2.4678	0	0	2	6.45636	0	0	0	0
ENST00000367137.4	37.4326	35.1933	30.2577	11.9193	24.1391	68.9998	24.49	45.6746	17.9022	59.0003	23.8849	24.0303	31.4959	30.5302	50.2958	47.8694	30.5809	12.2454	41.8875	45.7804
ENST00000468057.5	0	3.16037e-06	12.3725	27.8262	21.4462	0.000167455	18.4685	7.88878	17.25	8.8882	22.0644	27.7943	24.4074	11.144	0	2.08333e-06	25.036	33.2227	12.5691	14.2196
ENST00000484228.1	0	0	0	1.697	1.28199	0	0	9.43663	3.96218	0	6.88434	0	0	0	1.70422	3.13062	0	0	1.55581	0
ENST00000484000.1	0.567377	1.80675	0.369734	2.55746	0.132763	0	3.04148	0	1.88564	6.11147	0.166324	0.175386	6.09673	0.325866	0	0	2.38306	6.53191	0.987558	0
ENST00000447480.5	0	0	0	0	1.64886	1.71657	0	0	2.59007	0	4.89064	3.06803	1.47419	2.76249	7.65511	0	4.75786	6.43368	0	0
ENST00000355947.6	27.2423	12.939	7.82503	0	40.7487	0	0	13.3583	10.2437	6.54802	0	8.57292	0	0	0	14.1192	22.436	0	0	20.1416
ENST00000349062.7	22.369	46.4636	50.0373	63.2304	6.68319	23.6355	46.3761	37.5162	35.1506	27.1761	43.8143	47.0432	39.6478	55.0603	49.3747	11.4183	2.79996	38.2036	39.4463	3.63969
ENST00000354241.5	12.3733	3.33361	4.25136	3.97917	9.67553	7.25629	7.91176	13.2511	1.90207	5.62733	14.9103	10.7496	16.1692	8.78717	5.4683	9.35312	22.0062	4.47221	15.5537	4.98317
ENST00000496896.1	2	1	1	0	1.12355	2	0	0	1.13581	2.34726	0	0	1	3	3.26816	1	0	1	0	0
ENST00000479309.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000282074.7	0	0	0	0	0.70123	0	0	0	0	0.829	0	0	0	0	0	0.093669	0	0.35805	0	0
ENST00000451987.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
ENST00000472216.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000458059.7	1.7427	0	0	0	0	0	0	0	0	0	0	0	0	4.39608	0	0	0	2.47518	1.77174	0
ENST00000427478.7	9.2573	14	0	6.37635	8.80604	0	0	8.78844	11.5711	13.7841	0	7.46515	8.80939	3.64407	0	8.90263	11.3141	0	0	9
ENST00000389134.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205529	0	0
ENST00000567712.1	0	0	0	1	0	0	2	1	0	1	5	0	2	0	4	2	0	3	1	1
ENST00000568890.5	0	1.38199e-07	0	2.02073	0	12.6182	14.4238	0	0	0	15	0	0	0	0	0	0	4.30963	0	0
ENST00000569647.1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
ENST00000566482.5	1	1	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
ENST00000562576.5	0	0	0	0	0.193949	0	0	2.21154	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000565457.5	0	0	0	0	7.05546e-06	0	0	2.32748e-05	0	0	0	7.19512	1.83947	8.39133	8	2.00541	0	3.00966	9.22826	0
ENST00000565556.5	0	0	12.8226	0	0	0	0	0	0	0	0	0	0.351139	0	0	7.09196	3.32768	0	0	0
ENST00000566093.1	0	0	0	1.60292	0	0	0	1	0	0.832104	0	0	0	0	0	0	1	0	2	0
ENST00000560932.1	0	0	0	0	1.17195	0	0	0	0	1.99451	0	0	0	0	0	0	0	3	0	0
ENST00000290472.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000560132.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000429379.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000375363.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000282075.5	0.196269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0676637	0.155434	0
ENST00000421979.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000461586.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000462069.6	0	0	1.18843	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1.18977	1
ENST00000486169.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000232519.9	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
ENST00000465142.5	0	0	0	0	0	0	0.295474	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000494481.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000491323.5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENST00000542214.2	0	0	0.811572	0	0	0	1.70453	0	0	0	0	0	0	0	0	0	0	0	2.81023	0
ENST00000259457.8	19	23	31	19	28	91	53	40	43	61.2512	29	27.5874	16.0213	20	33	86	60.499	41	51	70
ENST00000498485.5	0	0	0	0	0	0	0	0	0	0	0	0	1.97866	0	0	0	1.50099	0	0	0
ENST00000474081.5	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
ENST00000478817.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000441097.1	0	0	0	0	0	0	0	0	0	3.74879	0	0.412621	0	0	0	0	0	0	0	0
ENST00000466951.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000672850.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000672844.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000601380.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000672397.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000672400.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000672135.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000672660.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000673225.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000673223.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000504514.7	1.7613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000594319.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000672802.1	2.2387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0
ENST00000672390.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
