target_id	GRP1A	GRP1B	GRP1C	GRP1D	GRP1E	GRP2A	GRP2B	GRP2C	GRP2D	GRP2E	GRP3A	GRP3B	GRP3C	GRP3D	GRP3E	GRP4A	GRP4B	GRP4C	GRP4D	GRP4E
ENST00000573704.5	0	0	3.48657	0	0	0	2.73811	0	0	2.61555	0	0	4.80471	4.68703	11.8707	0	0	0	0	2.75595
ENST00000253952.9	0	0	0	0	0	10.6251	5.02293	0	0	0	0	0	0	0	0	0	0	0	5.39167	0
ENST00000571046.1	9.64748	0	17.6822	0	0	0	0	0	0	5.47494	0	0	0	2.60801	0	9.0084	16.8955	0	0	0
ENST00000472726.3	0	0	0	0	0	0	0	0	8.88557	0	0	0	0	0	2.27039	0	2.80659	0	0	0
ENST00000341698.2	0	0	7.31165	6.92387	0	3.16283	0	6.72363	4.73715	0	0	1.25102e-06	0	0	0	0	9.21052	12.7274	0.0587986	0
ENST00000417545.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000554913.5	8.26313	3.80777	13.2171	0	10.837	0	6.70377	0	8.62082	0	0	10.2632	0	9.82106	0	0	6.56498	6.88804	13.3794	3.62313
ENST00000555055.6	0	1.75719	0	3.13054	0.912504	3.1677	0	3.16784	9.94254e-08	7.20169e-09	0.523352	4.59838e-07	1.5167	0	2.51144	0	1.38344	0.414253	5.19107e-08	0
ENST00000352127.11	0	4.33227	0	5.02718	1.40916	5.03219	0	4.65377	3.46377e-07	0	1.12105	9.02761e-07	2.85534	0	2.35005	10.2126	0	1.24519	6.89617e-08	0
ENST00000554811.5	0	0.650573	0	0	0	0	1.7829	0	0	0	0	0	1.7485	0.139892	1.22553	0	0	0	0.844958	0
ENST00000553264.5	0	4.47835	0	0	0	4.63799	0	0.734623	0	7.00968	5.36973	0	1.97362	0	4.49551	1.2698	0	0	0	1.93976
ENST00000554974.5	16.8602	22.6067	29.4416	12.9136	39.0413	0	31.7928	0	29.3608	27.9804	9.50427	35.0359	17.4259	50.605	18.819	0	1.90213	0	0.235067	0
